name,dates,lang,exam_date,return_date,link,days_inbetween,reporter,semester,comment,Column
Mikroökonomik für Informatikstudierende (V+Ü) (Microeconomics for Informatics),12/19/2019 15:20 → 01/28/2020 8:23,de,"Dec 19, 2019 3:20 PM","Jan 28, 2020 8:23 AM",https://bestande.ch/uzh/50792975/chat,39,MensaBoy0,20192,,"Jan 28, 2020 9:36 PM"
CSCW,01/16/2020 12:00 → 01/29/2020 14:51,en,"Jan 16, 2020 12:00 PM","Jan 29, 2020 2:51 PM",https://bestande.ch/uzh/50525765/chat,13,MensaKritiker,20192,,"Jan 28, 2020 9:41 PM"
Arbeitsmarktökonomik,01/15/2020 12:00 → 01/29/2020 16:12,de,"Jan 15, 2020 12:00 PM","Jan 29, 2020 4:12 PM",https://bestande.ch/uzh/50890119/chat,14,Asvzmaster6,20192,,"Jan 29, 2020 2:52 PM"
Governance (Seminar),12/19/2019 13:45 → 01/29/2020 15:47,en,"Dec 19, 2019 1:45 PM","Jan 29, 2020 3:47 PM",https://bestande.ch/uzh/50942103/chat,41,agglozürcher,20192,,"Jan 29, 2020 6:48 PM"
Lobster,01/18/2020 13:45 → 01/29/2020 14:14,de,"Jan 18, 2020 1:45 PM","Jan 29, 2020 2:14 PM",https://bestande.ch/uzh/50941876/chat,11,Lobster,20192,,"Jan 29, 2020 6:50 PM"
Asset Management: Advanced Investments,01/06/2020 16:00 → 01/29/2020 12:12,en,"Jan 6, 2020 4:00 PM","Jan 29, 2020 12:12 PM",https://bestande.ch/uzh/50873093/chat,22,zürihipster0,20192,,"Jan 29, 2020 6:53 PM"
Europa im Spätmittelalter,12/19/2019 12:00 → 01/29/2020 11:00,de,"Dec 19, 2019 12:00 PM","Jan 29, 2020 11:00 AM",https://bestande.ch/uzh/50960942/chat,40,Ehrentourist12,20192,,"Jan 29, 2020 6:55 PM"
Global Strategic Management (L+E),01/16/2020 12:00 → 01/29/2020 10:00,en,"Jan 16, 2020 12:00 PM","Jan 29, 2020 10:00 AM",https://bestande.ch/uzh/50637569,12,LernDoktorin1,20192,,"Jan 29, 2020 6:56 PM"
"BIO 132 Microbiology, Immunology, Virology",01/16/2020 15:00 → 01/30/2020 10:21,de,"Jan 16, 2020 3:00 PM","Jan 30, 2020 10:21 AM",https://bestande.ch/uzh/50033813,13,TheAvocado,20192,,"Jan 29, 2020 7:04 PM"
Wirtschaftsgeschichte: Europa im 19. Jahrhundert (V)(Economic History: Europe in the 19th century),01/07/2020 9:45 → 01/31/2020 9:19,de,"Jan 7, 2020 9:45 AM","Jan 31, 2020 9:19 AM",https://bestande.ch/uzh/50791986,23,Polymaster9,20192,,"Jan 29, 2020 7:04 PM"
Wirtschaftsinformatik II (V+Ü) (Business Informatics II),01/17/2020 12:00 → 01/31/2020 8:32,de,"Jan 17, 2020 12:00 PM","Jan 31, 2020 8:32 AM",https://bestande.ch/uzh/50840772/timetable,13,DTX,20192,,"Jan 31, 2020 12:47 PM"
BCH 211 Exercise tutorial Biochemistry,12/18/2019 13:00 → 01/31/2020 11:02,de,"Dec 18, 2019 1:00 PM","Jan 31, 2020 11:02 AM",https://bestande.ch/uzh/50458265/chat,43,biomed,20192,"Letzte Veranstaltung am 19.12, Bewertung draussen am 31.1. Gemeldet von biomed im Bestande-Chat","Jan 31, 2020 12:49 PM"
BCH 420 Advanced Protein Engineering,01/14/2020 15:30 → 01/31/2020 12:36,de,"Jan 14, 2020 3:30 PM","Jan 31, 2020 12:36 PM",https://bestande.ch/uzh/50369447/chat,16,@realDonaldTrump,20192,,"Jan 31, 2020 12:52 PM"
Behavioral Theory (L+E),01/14/2020 12:00 → 01/31/2020 14:21,de,"Jan 14, 2020 12:00 PM","Jan 31, 2020 2:21 PM",https://bestande.ch/uzh/50907184/timetable,17,andi,20192,,"Jan 31, 2020 1:04 PM"
How to manage an IT Company (L),11/30/2019 17:30 → 01/31/2020 14:36,de,"Nov 30, 2019 5:30 PM","Jan 31, 2020 2:36 PM",https://bestande.ch/uzh/50911145/timetable,61,Polyinfluencer20,20192,,"Jan 31, 2020 2:25 PM"
PHY 117,01/15/2020 15:00 → 02/02/2020 11:50,de,"Jan 15, 2020 3:00 PM","Feb 2, 2020 11:50 AM",http://bestande.ch/uzh/50747139,17,liliphys36,20192,,"Jan 31, 2020 5:23 PM"
BCH 201,01/21/2020 12:00 → 02/03/2020 9:13,de,"Jan 21, 2020 12:00 PM","Feb 3, 2020 9:13 AM",https://bestande.ch/uzh/50784744/chat,12,biomed,20192,,"Feb 3, 2020 11:25 AM"
Startup Seminar Banking & Finance 2.0 (S),12/04/2019 21:00 → 02/03/2020 11:29,de,"Dec 4, 2019 9:00 PM","Feb 3, 2020 11:29 AM",https://bestande.ch/uzh/50619479/timetable,60,Blab,20192,,"Feb 3, 2020 11:31 AM"
Taming the Data (L),01/15/2020 12:00 → 02/03/2020 15:33,en,"Jan 15, 2020 12:00 PM","Feb 3, 2020 3:33 PM",https://bestande.ch/uzh/50840897/chat,19,züriEnthusiast5,20192,,"Feb 3, 2020 2:50 PM"
